物件名,住所,築年数,築年数2,築年数_値,家賃,間取り,面積,家賃/平米,アクセス2,minute2,アクセス3,minute3,アクセス4,minute4,アクセス5,minute5,アクセス6,minute6,アクセス7,minute7,アクセス8,minute8,アクセス9,minute9,min_minute,築年数フラグ,家賃フラグ,アクセスフラグ,ターゲットフラグ,駅名,サブターゲットフラグ,詳細リンク,仲介業者
キャメル足立皿沼Ｃ棟,東京都足立区皿沼１,"築7年
2階建","築7年
2階建",7,5.3,1K,21.73,0.2439024390243902,日暮里・舎人ライナー/舎人公園駅 歩12分,12.0,日暮里・舎人ライナー/谷在家駅 歩10分,10.0,日暮里・舎人ライナー/西新井大師西駅 歩19分,19.0,,0,,0,,0,,0,,0,10.0,0,1,1,0,舎人公園,1,,
パークアクシス両国スクエア,東京都墨田区緑１,"築1年
13階建","築1年
13階建",1,11.7,1DK,25.12,0.465764331210191,都営大江戸線/両国駅 歩2分,2.0,都営大江戸線/森下駅 歩10分,10.0,都営新宿線/菊川駅 歩18分,18.0,,0,,0,,0,,0,,0,2.0,0,0,0,0,両国,0,,
メインステージ入谷,東京都台東区下谷３,"築25年
14階建","築25年
14階建",25,9.2,1LDK,37.52,0.2452025586353944,ＪＲ山手線/鶯谷駅 歩15分,15.0,東京メトロ日比谷線/入谷駅 歩6分,6.0,東京メトロ日比谷線/三ノ輪駅 歩7分,7.0,,0,,0,,0,,0,,0,6.0,1,1,0,0,鶯谷,1,,
メゾン吉田102号,東京都江戸川区北小岩３,"築21年
2階建","築21年
2階建",21,5.5,1DK,24.79,0.2218636546994756,ＪＲ総武線/小岩駅 歩13分,13.0,京成本線/江戸川駅 歩5分,5.0,京成本線/国府台駅 歩17分,17.0,,0,,0,,0,,0,,0,5.0,0,1,0,0,小岩,0,,
パークアクシス入谷,東京都台東区入谷２,"築2年
14階建","築2年
14階建",2,9.9,ワンルーム,25.25,0.3920792079207921,東京メトロ日比谷線/入谷駅 歩7分,7.0,東京メトロ日比谷線/三ノ輪駅 歩13分,13.0,ＪＲ山手線/鶯谷駅 歩15分,15.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,入谷,0,,
ＪＲ総武線 錦糸町駅 10階建 築26年,東京都墨田区錦糸１,"築26年
10階建","築26年
10階建",26,9.9,1DK,31.2,0.3173076923076923,ＪＲ総武線/錦糸町駅 歩5分,5.0,東京メトロ半蔵門線/錦糸町駅 歩5分,5.0,都営大江戸線/両国駅 歩10分,10.0,,0,,0,,0,,0,,0,5.0,1,0,0,0,錦糸町,0,,
パークタウンII,東京都墨田区錦糸１,"築26年
10階建","築26年
10階建",26,9.9,1DK,31.2,0.3173076923076923,ＪＲ総武線快速/錦糸町駅 歩5分,5.0,東京メトロ半蔵門線/錦糸町駅 歩5分,5.0,都営大江戸線/両国駅 歩14分,14.0,,0,,0,,0,,0,,0,5.0,1,0,0,0,錦糸町,0,,
東京メトロ東西線 南砂町駅 4階建 築17年,東京都江東区南砂５,"築17年
4階建","築17年
4階建",17,9.6,1SDK,38.0,0.2526315789473684,東京メトロ東西線/南砂町駅 歩10分,10.0,都営新宿線/西大島駅 歩22分,22.0,東京メトロ東西線/東陽町駅 歩25分,25.0,,0,,0,,0,,0,,0,10.0,0,1,1,0,南砂町,1,,
ユーワハイツ,東京都江戸川区宇喜田町,"築29年
2階建","築29年
2階建",29,9.2,2DK,44.62,0.2061855670103092,東京メトロ東西線/西葛西駅 歩15分,15.0,都営新宿線/船堀駅 歩15分,15.0,東京メトロ東西線/葛西駅 歩24分,24.0,,0,,0,,0,,0,,0,15.0,1,1,1,1,西葛西,0,,
ＡＲＫＭＡＲＫ水天宮前II,東京都江東区佐賀２,"築3年
7階建","築3年
7階建",3,10.8,1DK,25.92,0.4166666666666667,東京メトロ半蔵門線/水天宮前駅 歩7分,7.0,東京メトロ東西線/門前仲町駅 歩10分,10.0,東京メトロ半蔵門線/清澄白河駅 歩15分,15.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,水天宮前,0,,
ＪＲ京葉線 潮見駅 10階建 築5年,東京都江東区潮見２,"築5年
10階建","築5年
10階建",5,9.05,1K,25.62,0.353239656518345,ＪＲ京葉線/潮見駅 歩4分,4.0,東京メトロ有楽町線/辰巳駅 歩26分,26.0,東京メトロ有楽町線/豊洲駅 歩30分,30.0,,0,,0,,0,,0,,0,4.0,0,0,0,0,潮見,0,,
竹内ハイツ第１,東京都足立区西綾瀬３,"築42年
2階建","築42年
2階建",42,6.0,2DK,36.3,0.1652892561983471,東京メトロ千代田線/綾瀬駅 歩9分,9.0,東武伊勢崎線/五反野駅 歩10分,10.0,つくばエクスプレス/青井駅 歩14分,14.0,,0,,0,,0,,0,,0,9.0,1,1,1,1,綾瀬,0,,
ヴィレッタ・エヌ,東京都江東区亀戸４,"築4年
4階建","築4年
4階建",4,8.6,1K,26.57,0.323673315769665,ＪＲ総武線/亀戸駅 歩10分,10.0,東武亀戸線/亀戸水神駅 歩7分,7.0,東武亀戸線/東あずま駅 歩16分,16.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,亀戸,0,,
リビオメゾン新大橋,東京都江東区新大橋２,"新築
10階建",築１年,1,11.2,1DK,25.36,0.4416403785488959,都営新宿線/森下駅 歩7分,7.0,都営大江戸線/森下駅 歩7分,7.0,ＪＲ総武線/両国駅 歩11分,11.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,森下,0,,
レオパレスSUGA,東京都江戸川区西瑞江３,"築20年
2階建","築20年
2階建",20,5.7,1K,19.87,0.2868646200301962,都営新宿線/瑞江駅 歩9分,9.0,都営新宿線/一之江駅 歩17分,17.0,東京メトロ東西線/葛西駅 バス19分 (バス停)春江町三丁目 歩6分,19.0,,0,,0,,0,,0,,0,9.0,0,1,1,0,瑞江,1,,
レジディア上野池之端,東京都台東区池之端２,"築20年
11階建","築20年
11階建",20,11.8,1K,30.25,0.3900826446280992,東京メトロ千代田線/根津駅 歩6分,6.0,ＪＲ山手線/上野駅 歩15分,15.0,東京メトロ銀座線/上野広小路駅 歩12分,12.0,,0,,0,,0,,0,,0,6.0,0,0,0,0,根津,0,,
ウエリスアーバン錦糸町,東京都墨田区江東橋４,"新築
15階建",築１年,1,11.5,1DK,27.24,0.4221732745961821,東京メトロ半蔵門線/錦糸町駅 歩3分,3.0,ＪＲ総武線/錦糸町駅 歩5分,5.0,都営新宿線/住吉駅 歩13分,13.0,,0,,0,,0,,0,,0,3.0,0,0,0,0,錦糸町,0,,
クレヴィア錦糸町ガーデンコースト,東京都墨田区石原４,"築3年
11階建","築3年
11階建",3,17.5,2DK,40.0,0.4375,ＪＲ総武線/錦糸町駅 歩12分,12.0,都営浅草線/本所吾妻橋駅 歩14分,14.0,東武伊勢崎線/とうきょうスカイツリー駅 歩14分,14.0,,0,,0,,0,,0,,0,12.0,0,0,1,0,錦糸町,0,,
東京メトロ東西線 葛西駅 3階建 築36年,東京都江戸川区江戸川６,"築36年
3階建","築36年
3階建",36,7.5,2DK,43.47,0.1725327812284334,東京メトロ東西線/葛西駅 歩13分,13.0,都営新宿線/船堀駅 歩20分,20.0,都営新宿線/一之江駅 歩20分,20.0,,0,,0,,0,,0,,0,13.0,1,1,1,1,葛西,0,,
メインステージ浅草,東京都台東区駒形１,"築19年
11階建","築19年
11階建",19,11.0,1DK,30.49,0.3607740242702525,都営大江戸線/蔵前駅 歩2分,2.0,都営浅草線/浅草駅 歩7分,7.0,東京メトロ銀座線/田原町駅 歩8分,8.0,,0,,0,,0,,0,,0,2.0,0,0,0,0,蔵前,0,,
シャンテ綾瀬,東京都足立区綾瀬６,"築2年
3階建","築2年
3階建",2,5.2,1K,14.0,0.3714285714285714,ＪＲ常磐線/綾瀬駅 歩10分,10.0,つくばエクスプレス/青井駅 歩13分,13.0,東武伊勢崎線/五反野駅 歩22分,22.0,,0,,0,,0,,0,,0,10.0,0,0,1,0,綾瀬,0,,
東京メトロ東西線 西葛西駅 3階建 築38年,東京都江戸川区西葛西３,"築38年
3階建","築38年
3階建",38,11.0,2DK,42.35,0.2597402597402597,東京メトロ東西線/西葛西駅 歩3分,3.0,東京メトロ東西線/葛西駅 歩20分,20.0,都営新宿線/船堀駅 歩29分,29.0,,0,,0,,0,,0,,0,3.0,1,1,0,0,西葛西,1,,
ＣＯＯＰ－Ｍ２,東京都足立区梅島１,"築21年
3階建","築21年
3階建",21,6.9,1DK,28.67,0.2406696895709801,東武伊勢崎線/梅島駅 歩4分,4.0,東武伊勢崎線/西新井駅 歩15分,15.0,東武伊勢崎線/五反野駅 歩15分,15.0,,0,,0,,0,,0,,0,4.0,0,1,0,0,梅島,0,,
ＪＲ山手線 鶯谷駅 5階建 築34年,東京都台東区根岸３,"築34年
5階建","築34年
5階建",34,7.5,1DK,26.0,0.2884615384615384,ＪＲ山手線/鶯谷駅 歩6分,6.0,東京メトロ日比谷線/入谷駅 歩9分,9.0,ＪＲ常磐線/三河島駅 歩13分,13.0,,0,,0,,0,,0,,0,6.0,1,1,0,0,鶯谷,1,,
メルディア北綾瀬2,東京都足立区大谷田４,"築3年
4階建","築3年
4階建",3,6.0,1K,18.47,0.3248511099079588,東京メトロ千代田線/北綾瀬駅 歩11分,11.0,つくばエクスプレス/六町駅 歩24分,24.0,ＪＲ常磐線/亀有駅 歩27分,27.0,,0,,0,,0,,0,,0,11.0,0,0,1,0,北綾瀬,0,,
ＭＥＬＤＩＡ北綾瀬II,東京都足立区大谷田４,"築3年
4階建","築3年
4階建",3,6.0,1K,18.47,0.3248511099079588,東京メトロ千代田線/北綾瀬駅 歩11分,11.0,つくばエクスプレス/六町駅 歩25分,25.0,ＪＲ常磐線/亀有駅 歩26分,26.0,,0,,0,,0,,0,,0,11.0,0,0,1,0,北綾瀬,0,,
ＪＲ京葉線 越中島駅 5階建 新築,東京都江東区古石場２,"新築
5階建",築１年,1,11.3,1DK,25.59,0.441578741695975,ＪＲ京葉線/越中島駅 歩7分,7.0,都営大江戸線/門前仲町駅 歩7分,7.0,東京メトロ東西線/木場駅 歩14分,14.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,越中島,0,,
エスペランサ,東京都足立区西綾瀬２,"築24年
6階建","築24年
6階建",24,7.8,1DK,34.24,0.227803738317757,東武伊勢崎線/五反野駅 歩4分,4.0,東京メトロ千代田線/綾瀬駅 歩17分,17.0,つくばエクスプレス/青井駅 歩17分,17.0,,0,,0,,0,,0,,0,4.0,1,1,0,0,五反野,1,,
都営浅草線 蔵前駅 13階建 築3年,東京都台東区蔵前４,"築3年
13階建","築3年
13階建",3,18.7,2DK,41.18,0.4541039339485186,都営浅草線/蔵前駅 歩2分,2.0,東京メトロ銀座線/田原町駅 歩6分,6.0,都営大江戸線/新御徒町駅 歩8分,8.0,,0,,0,,0,,0,,0,2.0,0,0,0,0,蔵前,0,,
シエスタ清澄白河,東京都江東区三好３,"新築
5階建",築１年,1,11.3,1DK,25.03,0.4514582500998801,東京メトロ半蔵門線/清澄白河駅 歩7分,7.0,都営新宿線/菊川駅 歩14分,14.0,都営大江戸線/森下駅 歩21分,21.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,清澄白河,0,,
東京メトロ半蔵門線 住吉駅 8階建 築4年,東京都江東区毛利１,"築4年
8階建","築4年
8階建",4,11.7,1DK,25.53,0.4582843713278495,東京メトロ半蔵門線/住吉駅 歩6分,6.0,都営新宿線/菊川駅 歩10分,10.0,ＪＲ総武線/錦糸町駅 歩11分,11.0,,0,,0,,0,,0,,0,6.0,0,0,0,0,住吉,0,,
オーキッドレジデンス住吉,東京都江東区毛利１,"築4年
8階建","築4年
8階建",4,10.8,ワンルーム,25.99,0.4155444401692959,東京メトロ半蔵門線/住吉駅 歩6分,6.0,都営新宿線/菊川駅 歩11分,11.0,ＪＲ総武線/錦糸町駅 歩10分,10.0,,0,,0,,0,,0,,0,6.0,0,0,0,0,住吉,0,,
グレースハイツ,東京都江戸川区本一色３,"築34年
3階建","築34年
3階建",34,6.0,2DK,25.0,0.24,ＪＲ総武線/新小岩駅 歩13分,13.0,ＪＲ総武線/小岩駅 歩29分,29.0,京成押上線/京成立石駅 バス22分 (バス停)光照寺 歩4分,22.0,,0,,0,,0,,0,,0,13.0,1,1,1,1,新小岩,0,,
ケーリエ,東京都墨田区横川３,"築21年
6階建","築21年
6階建",21,11.5,1DK,35.34,0.3254102999434068,ＪＲ総武線快速/錦糸町駅 歩10分,10.0,東京メトロ半蔵門線/押上駅 歩9分,9.0,東武伊勢崎線/とうきょうスカイツリー駅 歩16分,16.0,,0,,0,,0,,0,,0,9.0,0,0,1,0,錦糸町,0,,
アネックス壱・弐番館,東京都江戸川区鹿骨３,"築21年
2階建","築21年
2階建",21,10.4,2DK,58.45,0.1779298545765611,都営新宿線/篠崎駅 歩17分,17.0,ＪＲ総武線/小岩駅 バス18分 (バス停)鹿骨三丁目バス停 歩1分,18.0,都営新宿線/瑞江駅 歩30分,30.0,,0,,0,,0,,0,,0,17.0,0,1,1,0,篠崎,1,,
ホウエイコート秋葉原,東京都台東区台東２,"築3年
14階建","築3年
14階建",3,9.7,1K,25.64,0.3783151326053042,都営大江戸線/新御徒町駅 歩8分,8.0,東京メトロ日比谷線/仲御徒町駅 歩9分,9.0,ＪＲ山手線/御徒町駅 歩13分,13.0,,0,,0,,0,,0,,0,8.0,0,0,1,0,新御徒町,0,,
AXAS豊洲アジールコート,東京都江東区枝川１,"築15年
5階建","築15年
5階建",15,7.9,1K,20.51,0.3851779619697708,東京メトロ有楽町線/豊洲駅 歩10分,10.0,ＪＲ京葉線/潮見駅 歩18分,18.0,東京メトロ東西線/門前仲町駅 歩28分,28.0,,0,,0,,0,,0,,0,10.0,0,0,1,0,豊洲,0,,
クオリタス門前仲町,東京都江東区冬木,"築1年
7階建","築1年
7階建",1,11.3,1DK,25.31,0.4464638482813118,東京メトロ東西線/門前仲町駅 歩7分,7.0,都営大江戸線/清澄白河駅 歩15分,15.0,東京メトロ東西線/木場駅 歩12分,12.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,門前仲町,0,,
ＪＲ総武線 小岩駅 2階建 築32年,東京都江戸川区西小岩１,"築32年
2階建","築32年
2階建",32,6.0,1DK,22.73,0.2639683238011439,ＪＲ総武線/小岩駅 歩4分,4.0,京成本線/京成小岩駅 歩20分,20.0,北総線/新柴又駅 歩31分,31.0,,0,,0,,0,,0,,0,4.0,1,1,0,0,小岩,1,,
日神デュオステージ亀戸,東京都江東区亀戸２,"築16年
12階建","築16年
12階建",16,10.2,1DK,30.24,0.3373015873015872,ＪＲ総武線/亀戸駅 歩6分,6.0,ＪＲ総武線/錦糸町駅 歩15分,15.0,都営浅草線/押上駅 歩20分,20.0,,0,,0,,0,,0,,0,6.0,0,0,0,0,亀戸,0,,
コンシェリア門前仲町 ＡＱＵＡ ＶＥＲＴ,東京都江東区永代１,"築1年
9階建","築1年
9階建",1,10.75,1K,26.45,0.4064272211720227,東京メトロ東西線/門前仲町駅 歩8分,8.0,東京メトロ有楽町線/月島駅 歩18分,18.0,東京メトロ半蔵門線/水天宮前駅 歩18分,18.0,,0,,0,,0,,0,,0,8.0,0,0,1,0,門前仲町,0,,
都営新宿線 一之江駅 3階建 築36年,東京都江戸川区江戸川３,"築36年
3階建","築36年
3階建",36,8.6,2DK,46.58,0.184628595963933,都営新宿線/一之江駅 歩13分,13.0,都営新宿線/瑞江駅 歩18分,18.0,東京メトロ東西線/南行徳駅 歩37分,37.0,,0,,0,,0,,0,,0,13.0,1,1,1,1,一之江,0,,
Ｍゴールデンハイツ,東京都葛飾区東新小岩４,"築39年
3階建","築39年
3階建",39,6.8,2DK,39.66,0.1714573877962683,ＪＲ総武線/新小岩駅 歩16分,16.0,ＪＲ総武線快速/新小岩駅 歩16分,16.0,京成押上線/京成立石駅 歩32分,32.0,,0,,0,,0,,0,,0,16.0,1,1,1,1,新小岩,0,,
ＪＲ常磐線 南千住駅 12階建 築1年,東京都台東区清川２,"築1年
12階建","築1年
12階建",1,8.9,1K,26.23,0.3393061380099123,ＪＲ常磐線/南千住駅 歩15分,15.0,東京メトロ日比谷線/三ノ輪駅 歩18分,18.0,東武伊勢崎線/東向島駅 歩23分,23.0,,0,,0,,0,,0,,0,15.0,0,0,1,0,南千住,0,,
シティレジデンス,東京都江戸川区西小岩５,"築34年
5階建","築34年
5階建",34,6.2,1DK,29.72,0.2086137281292059,ＪＲ総武線/小岩駅 歩9分,9.0,京成本線/京成小岩駅 歩9分,9.0,京成本線/江戸川駅 歩16分,16.0,,0,,0,,0,,0,,0,9.0,1,1,1,1,小岩,0,,
エレガントハイツMatsumoto,東京都江東区亀戸６,"築32年
4階建","築32年
4階建",32,11.0,2DK,37.68,0.291932059447983,ＪＲ総武線/亀戸駅 歩6分,6.0,東武亀戸線/亀戸水神駅 歩11分,11.0,都営新宿線/大島駅 歩12分,12.0,,0,,0,,0,,0,,0,6.0,1,1,0,0,亀戸,1,,
杉浦マンション,東京都江戸川区南小岩８,"築50年
3階建","築50年
3階建",50,9.0,1DK,42.83,0.2101330842867149,ＪＲ総武線/小岩駅 歩5分,5.0,京成本線/京成小岩駅 歩15分,15.0,京成本線/江戸川駅 歩17分,17.0,,0,,0,,0,,0,,0,5.0,1,1,0,0,小岩,1,,
ＪＲ総武線 小岩駅 5階建 築33年,東京都江戸川区南小岩７,"築33年
5階建","築33年
5階建",33,12.0,2DK,46.27,0.2593473092716662,ＪＲ総武線/小岩駅 歩2分,2.0,京成本線/京成小岩駅 歩19分,19.0,,0.0,,0,,0,,0,,0,,0,2.0,1,1,0,0,小岩,1,,
東武伊勢崎線 五反野駅 2階建 築28年,東京都足立区足立２,"築28年
2階建","築28年
2階建",28,7.2,1DK,34.0,0.2117647058823529,東武伊勢崎線/五反野駅 歩7分,7.0,東武伊勢崎線/梅島駅 歩16分,16.0,ＪＲ常磐線/北千住駅 歩25分,25.0,,0,,0,,0,,0,,0,7.0,1,1,0,0,五反野,1,,
ヒューマンハイム亀戸ＩＩ,東京都江東区亀戸２,"築16年
12階建","築16年
12階建",16,8.0,1K,24.12,0.3316749585406301,ＪＲ総武線/亀戸駅 歩5分,5.0,,0.0,,0.0,,0,,0,,0,,0,,0,5.0,0,0,0,0,亀戸,0,,
リビオメゾン森下,東京都江東区森下４,"新築
8階建",築１年,1,9.7,1LDK,25.3,0.3833992094861659,都営新宿線/菊川駅 歩4分,4.0,都営新宿線/森下駅 歩8分,8.0,都営大江戸線/森下駅 歩8分,8.0,,0,,0,,0,,0,,0,4.0,0,0,0,0,菊川,0,,
ライオンズ蔵前レジデンス,東京都台東区蔵前２,"築11年
12階建","築11年
12階建",11,12.9,1DK,30.45,0.4236453201970444,都営浅草線/蔵前駅 歩1分,1.0,ＪＲ総武線/浅草橋駅 歩11分,11.0,ＪＲ山手線/御徒町駅 歩24分,24.0,,0,,0,,0,,0,,0,1.0,0,0,0,0,蔵前,0,,
ＪＲ総武線 新小岩駅 3階建 築44年,東京都江戸川区松島３,"築44年
3階建","築44年
3階建",44,6.0,1DK,25.0,0.24,ＪＲ総武線/新小岩駅 歩9分,9.0,,0.0,,0.0,,0,,0,,0,,0,,0,9.0,1,1,1,1,新小岩,0,,
東京メトロ半蔵門線 住吉駅 2階建 築21年,東京都江東区住吉１,"築21年
2階建","築21年
2階建",21,8.0,1DK,30.64,0.2610966057441253,東京メトロ半蔵門線/住吉駅 歩5分,5.0,都営新宿線/菊川駅 歩11分,11.0,ＪＲ総武線/錦糸町駅 歩12分,12.0,,0,,0,,0,,0,,0,5.0,0,1,0,0,住吉,0,,
根塚コーポ,東京都江東区住吉１,"築21年
2階建","築21年
2階建",21,8.0,1DK,30.64,0.2610966057441253,都営新宿線/住吉駅 歩4分,4.0,都営新宿線/菊川駅 歩11分,11.0,ＪＲ総武線/錦糸町駅 歩14分,14.0,,0,,0,,0,,0,,0,4.0,0,1,0,0,住吉,0,,
GRANPASEO清澄白河（グランパセオ清澄白河）【旧プライムブリス清,東京都江東区平野３,"築3年
10階建","築3年
10階建",3,11.8,1DK,25.34,0.4656669297553276,東京メトロ半蔵門線/清澄白河駅 歩7分,7.0,都営新宿線/菊川駅 歩17分,17.0,東京メトロ東西線/木場駅 歩15分,15.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,清澄白河,0,,
メインステージ上野,東京都台東区東上野４,"築18年
13階建","築18年
13階建",18,11.0,1K,29.85,0.3685092127303182,ＪＲ山手線/上野駅 歩3分,3.0,東京メトロ銀座線/稲荷町駅 歩8分,8.0,都営大江戸線/新御徒町駅 歩14分,14.0,,0,,0,,0,,0,,0,3.0,0,0,0,0,上野,0,,
ハーモニーレジデンス門前仲町,東京都江東区永代１,"築10年
14階建","築10年
14階建",10,8.9,1K,25.64,0.3471138845553822,東京メトロ東西線/門前仲町駅 歩5分,5.0,ＪＲ京葉線/八丁堀駅 歩14分,14.0,東京メトロ日比谷線/茅場町駅 歩16分,16.0,,0,,0,,0,,0,,0,5.0,0,0,0,0,門前仲町,0,,
レジディア門前仲町プレイス,東京都江東区佐賀１,"築4年
12階建","築4年
12階建",4,11.7,1DK,25.23,0.4637336504161712,東京メトロ東西線/門前仲町駅 歩9分,9.0,東京メトロ半蔵門線/水天宮前駅 歩10分,10.0,東京メトロ日比谷線/茅場町駅 歩10分,10.0,,0,,0,,0,,0,,0,9.0,0,0,1,0,門前仲町,0,,
竹内ハイツ（第２・３・５）,東京都足立区西綾瀬３,"築42年
2階建","築42年
2階建",42,6.3,2DK,36.3,0.1735537190082644,東武伊勢崎線/五反野駅 歩10分,10.0,東京メトロ千代田線/綾瀬駅 歩9分,9.0,つくばエクスプレス/青井駅 歩14分,14.0,,0,,0,,0,,0,,0,9.0,1,1,1,1,五反野,0,,
ＪＲ京葉線 潮見駅 10階建 築5年,東京都江東区潮見２,"築5年
10階建","築5年
10階建",5,9.95,1DK,25.62,0.3883684621389539,ＪＲ京葉線/潮見駅 歩4分,4.0,,0.0,,0.0,,0,,0,,0,,0,,0,4.0,0,0,0,0,潮見,0,,
ストークハイツ林,東京都江戸川区南小岩８,"築39年
2階建","築39年
2階建",39,5.6,1DK,23.93,0.2340158796489761,ＪＲ総武線/小岩駅 歩8分,8.0,京成本線/江戸川駅 歩18分,18.0,京成本線/京成小岩駅 歩20分,20.0,,0,,0,,0,,0,,0,8.0,1,1,1,1,小岩,0,,
シャルマンハイム_305号,東京都江戸川区東小岩５,"築37年
3階建","築37年
3階建",37,6.0,1DK,26.0,0.2307692307692307,ＪＲ総武線/小岩駅 歩9分,9.0,都営新宿線/篠崎駅 バス14分 (バス停)小岩警察・区民館 歩6分,14.0,都営新宿線/瑞江駅 バス18分 (バス停)小岩郵便局 歩3分,18.0,,0,,0,,0,,0,,0,9.0,1,1,1,1,小岩,0,,
ＪＲ総武線 錦糸町駅 5階建 新築,東京都江東区亀戸３,"新築
5階建",築１年,1,8.9,1K,25.61,0.3475204998047638,ＪＲ総武線/錦糸町駅 歩10分,10.0,ＪＲ総武線/亀戸駅 歩15分,15.0,東京メトロ半蔵門線/押上駅 歩14分,14.0,,0,,0,,0,,0,,0,10.0,0,0,1,0,錦糸町,0,,
東京メトロ日比谷線 北千住駅 4階建 築13年,東京都足立区千住河原町,"築13年
4階建","築13年
4階建",13,7.1,1K,20.06,0.353938185443669,東京メトロ日比谷線/北千住駅 歩13分,13.0,京成本線/千住大橋駅 歩3分,3.0,ＪＲ常磐線/南千住駅 歩17分,17.0,,0,,0,,0,,0,,0,3.0,0,0,0,0,北千住,0,,
都営新宿線 篠崎駅 3階建 築27年,東京都江戸川区新堀２,"築27年
3階建","築27年
3階建",27,7.7,2DK,48.5,0.1587628865979381,都営新宿線/篠崎駅 歩17分,17.0,都営新宿線/瑞江駅 歩21分,21.0,ＪＲ総武線/小岩駅 バス14分 (バス停)小岩消防署 歩5分,14.0,,0,,0,,0,,0,,0,14.0,1,1,1,1,篠崎,0,,
ＪＲ総武線 平井駅 3階建 築34年,東京都江戸川区小松川４,"築34年
3階建","築34年
3階建",34,7.3,2DK,37.26,0.1959205582393988,ＪＲ総武線/平井駅 歩15分,15.0,都営新宿線/東大島駅 歩21分,21.0,,0.0,,0,,0,,0,,0,,0,15.0,1,1,1,1,平井,0,,
ＪＲ総武線 亀戸駅 8階建 築12年,東京都江東区亀戸５,"築12年
8階建","築12年
8階建",12,8.0,1K,26.12,0.3062787136294027,ＪＲ総武線/亀戸駅 歩3分,3.0,東武亀戸線/亀戸駅 歩5分,5.0,東武亀戸線/亀戸水神駅 歩6分,6.0,,0,,0,,0,,0,,0,3.0,0,0,0,0,亀戸,0,,
ルーブル亀戸,東京都江東区亀戸５,"築12年
8階建","築12年
8階建",12,8.0,1K,25.65,0.3118908382066277,ＪＲ総武線/亀戸駅 歩3分,3.0,ＪＲ総武線/錦糸町駅 歩20分,20.0,東京メトロ半蔵門線/錦糸町駅 歩20分,20.0,,0,,0,,0,,0,,0,3.0,0,0,0,0,亀戸,0,,
グラシアプレイス東陽町,東京都江東区東陽３,"築2年
14階建","築2年
14階建",2,10.7,1DK,25.33,0.4224240031583103,東京メトロ東西線/東陽町駅 歩5分,5.0,東京メトロ東西線/木場駅 歩5分,5.0,都営大江戸線/門前仲町駅 歩20分,20.0,,0,,0,,0,,0,,0,5.0,0,0,0,0,東陽町,0,,
プレール・ドゥーク木場公園ＷＥＳＴ,東京都江東区平野３,"新築
8階建",築１年,1,12.2,1DK,25.25,0.4831683168316831,東京メトロ半蔵門線/清澄白河駅 歩8分,8.0,東京メトロ東西線/木場駅 歩12分,12.0,都営新宿線/菊川駅 歩16分,16.0,,0,,0,,0,,0,,0,8.0,0,0,1,0,清澄白河,0,,
メルディア西新井本町,東京都足立区西新井本町４,"築3年
3階建","築3年
3階建",3,5.4,1K,16.1,0.3354037267080745,東武伊勢崎線/西新井駅 歩15分,15.0,東武大師線/大師前駅 歩12分,12.0,日暮里・舎人ライナー/江北駅 歩16分,16.0,,0,,0,,0,,0,,0,12.0,0,0,1,0,西新井,0,,
所ガーデンマンション_206号,東京都江戸川区南小岩６,"築34年
4階建","築34年
4階建",34,6.8,1K,23.9,0.2845188284518828,ＪＲ総武線/小岩駅 歩2分,2.0,京成本線/京成小岩駅 歩21分,21.0,京成本線/江戸川駅 歩23分,23.0,,0,,0,,0,,0,,0,2.0,1,1,0,0,小岩,1,,
ウィルテラス船堀,東京都江戸川区松江５,"築35年
10階建","築35年
10階建",35,12.7,2DK,47.06,0.2698682532936676,都営新宿線/船堀駅 歩9分,9.0,東京メトロ東西線/西葛西駅 バス20分 (バス停)松江第一中学校前 歩1分,20.0,ＪＲ総武線/新小岩駅 バス18分 (バス停)松江第一中学校前 歩1分,18.0,,0,,0,,0,,0,,0,9.0,1,1,1,1,船堀,0,,
シーフォルム住吉,東京都江東区大島１,"築3年
10階建","築3年
10階建",3,10.9,2K,25.74,0.4234654234654235,都営新宿線/西大島駅 歩5分,5.0,東京メトロ半蔵門線/住吉駅 歩7分,7.0,東京メトロ半蔵門線/錦糸町駅 歩18分,18.0,,0,,0,,0,,0,,0,5.0,0,0,0,0,西大島,0,,
東京メトロ東西線 葛西駅 13階建 築20年,東京都江戸川区中葛西３,"築20年
13階建","築20年
13階建",20,7.2,1K,23.0,0.3130434782608696,東京メトロ東西線/葛西駅 歩2分,2.0,東京メトロ東西線/西葛西駅 歩15分,15.0,,0.0,,0,,0,,0,,0,,0,2.0,0,0,0,0,葛西,0,,
東京メトロ銀座線 浅草駅 11階建 築17年,東京都台東区浅草５,"築17年
11階建","築17年
11階建",17,8.0,1K,25.0,0.32,東京メトロ銀座線/浅草駅 歩12分,12.0,東京メトロ日比谷線/三ノ輪駅 歩18分,18.0,都営浅草線/本所吾妻橋駅 歩23分,23.0,,0,,0,,0,,0,,0,12.0,0,0,1,0,浅草,0,,
